Spell List Name           -> SQL List ID
==================================================
BLM_BLU_SPELLS                 -> 579
BLM_BRD_SPELLS                 -> 580
BLM_BST_SPELLS                 -> 581
BLM_DRK_SPELLS                 -> 582
BLM_GEO_SPELLS                 -> 583
BLM_NIN_SPELLS                 -> 584
BLM_PLD_SPELLS                 -> 585
BLM_RDM_SPELLS                 -> 586
BLM_RUN_SPELLS                 -> 587
BLM_SCH_SPELLS                 -> 588
BLM_SMN_SPELLS                 -> 589
BLM_SPELLS                     -> 566
BLU_BST_SPELLS                 -> 590
BLU_DRK_SPELLS                 -> 591
BLU_GEO_SPELLS                 -> 592
BLU_NIN_SPELLS                 -> 593
BLU_PLD_SPELLS                 -> 594
BLU_RUN_SPELLS                 -> 595
BLU_SCH_SPELLS                 -> 596
BLU_SPELLS                     -> 567
BRD_BLU_SPELLS                 -> 597
BRD_BST_SPELLS                 -> 598
BRD_DRK_SPELLS                 -> 599
BRD_GEO_SPELLS                 -> 600
BRD_NIN_SPELLS                 -> 601
BRD_PLD_SPELLS                 -> 602
BRD_RUN_SPELLS                 -> 603
BRD_SCH_SPELLS                 -> 604
BRD_SMN_SPELLS                 -> 605
BRD_SPELLS                     -> 568
BST_SPELLS                     -> 569
DRK_BST_SPELLS                 -> 606
DRK_PLD_SPELLS                 -> 607
DRK_SCH_SPELLS                 -> 608
DRK_SPELLS                     -> 570
GEO_BST_SPELLS                 -> 609
GEO_DRK_SPELLS                 -> 610
GEO_PLD_SPELLS                 -> 611
GEO_SCH_SPELLS                 -> 612
GEO_SPELLS                     -> 571
NIN_BST_SPELLS                 -> 613
NIN_DRK_SPELLS                 -> 614
NIN_GEO_SPELLS                 -> 615
NIN_PLD_SPELLS                 -> 616
NIN_RUN_SPELLS                 -> 617
NIN_SCH_SPELLS                 -> 618
NIN_SPELLS                     -> 572
PLD_BST_SPELLS                 -> 619
PLD_SCH_SPELLS                 -> 620
PLD_SPELLS                     -> 573
RDM_BLU_SPELLS                 -> 621
RDM_BRD_SPELLS                 -> 622
RDM_BST_SPELLS                 -> 623
RDM_DRK_SPELLS                 -> 624
RDM_GEO_SPELLS                 -> 625
RDM_NIN_SPELLS                 -> 626
RDM_PLD_SPELLS                 -> 627
RDM_RUN_SPELLS                 -> 628
RDM_SCH_SPELLS                 -> 629
RDM_SMN_SPELLS                 -> 630
RDM_SPELLS                     -> 574
RUN_BST_SPELLS                 -> 631
RUN_DRK_SPELLS                 -> 632
RUN_GEO_SPELLS                 -> 633
RUN_PLD_SPELLS                 -> 634
RUN_SCH_SPELLS                 -> 635
RUN_SPELLS                     -> 575
SCH_BST_SPELLS                 -> 636
SCH_SPELLS                     -> 576
SMN_BLU_SPELLS                 -> 637
SMN_BST_SPELLS                 -> 638
SMN_DRK_SPELLS                 -> 639
SMN_GEO_SPELLS                 -> 640
SMN_NIN_SPELLS                 -> 641
SMN_PLD_SPELLS                 -> 642
SMN_RUN_SPELLS                 -> 643
SMN_SCH_SPELLS                 -> 644
SMN_SPELLS                     -> 577
WHM_BLM_SPELLS                 -> 645
WHM_BLU_SPELLS                 -> 646
WHM_BRD_SPELLS                 -> 647
WHM_BST_SPELLS                 -> 648
WHM_DRK_SPELLS                 -> 649
WHM_GEO_SPELLS                 -> 650
WHM_NIN_SPELLS                 -> 651
WHM_PLD_SPELLS                 -> 652
WHM_RDM_SPELLS                 -> 653
WHM_RUN_SPELLS                 -> 654
WHM_SCH_SPELLS                 -> 655
WHM_SMN_SPELLS                 -> 656
WHM_SPELLS                     -> 578
